alloy_id,alloy_system,year,zinc,magnesium,aluminum,copper,silver,ultimate_tensile_strength,yield_strength,elongation,hardness,elastic_modulus,casting_method,annealing_temperature,aging_temperature,aging_time
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg0.2_2022_001,Zn-Mg-Mn,2022,,0.2,,,,207.0,154.0,82.2,,,,,,
Mg1.0_None_001,Zn-Mg-RE,,,1.0,,,,,,,,,melted and cast,,,
ZnMg0.1Mn0.02_rolled_001,Zn-Mg-Mn,,99.88,0.1,,,,397.7,,15.9,,,,,,
Mg1.0_2024_001,Zn-Mg-RE,2024,,1.0,,,,,,,,,melted and cast,,,
Zn1Mg0.1RE_001,Zn-Mg-RE,,,1.0,,,,,,,,,melted and cast,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Zn-4Cu-0.02Li_001,Zn-Cu-Li,2021,,,,4.0,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Alloy_2023_001,Al-Zn-Mg-Cu,2023,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Al-Zn-Mg_ZnMg3.68_001,Al-Zn-Mg,2024,,,,,,,,,,,,,,
Zn85.0Al15.0_None_001,Zn-Al,,85.0,,15.0,,,,,,,,,275.0,,
Alloy_2016_001,Zn-Al,2016,,,,,,,,,,,gravity cast,,,
Al-Zn-Mg_ZnMg1.2-3.5_001,Al-Zn-Mg,,,,,,,,,,,,,,130.0,
Zn1.5Cu1.0Ag0.1Zr_001,Zn-Cu-Ag-Zr,2017,,,,1.5,1.0,244.83,218.14,64.5,,,,,,
Mg0.8_None_001,Zn-Cu-Mg,,,0.8,,2.0,,394.0,,1.1,145.0,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5-3_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
Alloy_2024_001,Al-Zn-Mg,2024,,,,,,,336.0,18.0,,,,,,
Zn2Cu0.8Mg0.2Gd_001,Zn-Cu-Mg-Gd,,,0.8,,2.0,,394.0,,1.1,,,,,,
Al-Zn-Mg-Sc_001,Al-Zn-Mg-Sc,,20.0,0.5,,,,,,,,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa2_001,Zn-Ca,2018,98.0,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
ZnCa0.5_001,Zn-Ca,2018,,,,,,,,,90.94,,,,,
